"TransactionID"	"CustomerID"	"ProductID"	"SalesAmount"	"TransactionDate"
1	92	12	4973.08	2023-03-27
2	43	25	1491.2	2023-09-30
3	56	20	7736.19	2023-04-24
4	59	39	2198.68	2023-08-22
5	35	49	9027.76	2023-09-20
6	2	6	8978.02	2023-12-12
7	36	24	8579.19	2023-09-29
8	46	2	5230.86	2023-03-17
9	2	35	1639.6	2023-09-10
10	88	16	1135.09	2023-05-07
11	56	37	5173.79	2023-06-30
12	79	24	4001.02	2023-01-06
13	68	37	9416.91	2023-01-11
14	91	34	730.54	2023-03-24
15	25	13	1475.93	2023-06-15
16	66	15	530.71	2023-05-20
17	1	45	6424.79	2023-02-11
18	95	39	3419.26	2023-10-20
19	52	15	1159.97	2023-03-18
20	6	4	8176.81	2023-09-14
21	55	36	4158.16	2023-06-09
22	57	34	4530.03	2023-12-03
23	37	5	4912.13	2023-06-27
24	71	50	1475.53	2023-08-08
25	68	24	8940.59	2023-12-12
26	75	12	2131.17	2023-11-05
27	13	45	8380.22	2023-10-31
28	92	9	3028.25	2023-09-04
29	28	36	4650	2023-07-05
30	79	8	3454.39	2023-03-29
31	93	2	2162.26	2023-02-15
32	13	4	9571.07	2023-11-22
33	27	28	7948	2023-06-02
34	100	18	7525.97	2023-09-08
35	25	22	397.24	2023-09-07
36	26	2	7145.51	2023-10-11
37	51	39	1859.64	2023-10-05
38	14	5	6632.42	2023-06-05
39	5	49	5543.85	2023-08-26
40	68	42	328.62	2023-08-22
41	19	7	8861.32	2023-06-14
42	29	20	2526.55	2023-07-19
43	78	12	1071.31	2023-11-13
44	22	38	5338.29	2023-11-25
45	87	16	2430.38	2023-09-29
46	61	40	1690.93	2023-11-12
47	89	24	1842.73	2023-06-23
48	64	6	2001.72	2023-01-27
49	98	18	1506.97	2023-08-26
50	73	45	9962.5	2023-04-16
51	54	22	2674.53	2023-04-18
52	14	21	175.15	2023-03-08
53	47	46	3865.68	2023-03-16
54	44	9	578.98	2023-11-11
55	100	36	7996.62	2023-03-16
56	51	35	3871.16	2023-11-06
57	51	8	1056.16	2023-06-10
58	9	27	5278.86	2023-04-20
59	45	11	5258.34	2023-05-08
60	83	31	738.51	2023-03-11
61	30	44	5202.27	2023-07-14
62	34	38	9911.43	2023-09-08
63	33	19	5120.05	2023-02-09
64	41	37	2147.71	2023-06-20
65	21	12	9171.62	2023-06-05
66	88	28	3054.57	2023-12-24
67	75	8	5845.93	2023-10-19
68	21	23	9246.11	2023-04-19
69	46	5	5643.42	2023-08-10
70	88	39	4374.2	2023-06-21
71	5	40	4526.67	2023-03-24
72	2	45	7118.54	2023-03-13
73	35	40	6085.59	2023-01-14
74	93	42	6993.79	2023-11-01
75	73	25	4811.05	2023-09-28
76	97	10	9307.77	2023-09-05
77	73	18	6763.87	2023-10-29
78	28	49	4832.74	2023-03-19
79	26	32	3948.22	2023-07-27
80	95	49	8507.32	2023-08-25
81	93	48	3795.42	2023-04-16
82	72	46	3061.06	2023-01-03
